Survived,Pclass,Sex,Age,HasCabin,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Fare_log,FamilySize,IsAlone
0,3,0,22.0,0,False,True,False,True,False,False,2.1102132003465894,2,0
1,1,1,38.0,1,False,False,False,False,True,False,4.2805931204649,2,0
1,3,1,26.0,0,False,True,True,False,False,False,2.188856327665703,1,1
1,1,1,35.0,1,False,True,False,False,True,False,3.9908341858524357,2,0
0,3,0,35.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,3,0,25.0,0,True,False,False,True,False,False,2.246892662898172,1,1
0,1,0,54.0,1,False,True,False,True,False,False,3.967694202798607,1,1
0,3,0,2.0,0,False,True,False,False,False,False,3.0944457464900235,5,0
1,3,1,27.0,0,False,True,False,False,True,False,2.495953738718064,3,0
1,2,1,14.0,0,False,False,False,False,True,False,3.436268471383741,2,0
1,3,1,4.0,1,False,True,True,False,False,False,2.8735646395797834,3,0
1,1,1,58.0,1,False,True,True,False,False,False,3.3160025355989236,1,1
0,3,0,20.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,3,0,39.0,0,False,True,False,True,False,False,3.4742929367327062,7,0
0,3,1,14.0,0,False,True,True,False,False,False,2.180891922715322,1,1
1,2,1,55.0,0,False,True,False,False,True,False,2.833213344056216,1,1
0,3,0,2.0,0,True,False,False,False,False,False,3.405355391810819,6,0
1,2,0,30.0,0,False,True,False,True,False,False,2.6390573296152584,1,1
0,3,1,31.0,0,False,True,False,False,True,False,2.9444389791664403,2,0
1,3,1,21.5,0,False,False,False,False,True,False,2.1071782966514356,1,1
0,2,0,35.0,0,False,True,False,True,False,False,3.295836866004329,1,1
1,2,0,34.0,1,False,True,False,True,False,False,2.6390573296152584,1,1
1,3,1,15.0,0,True,False,True,False,False,False,2.2004637699272855,1,1
1,1,0,28.0,1,False,True,False,True,False,False,3.597312260588446,1,1
0,3,1,8.0,0,False,True,True,False,False,False,3.0944457464900235,5,0
1,3,1,38.0,0,False,True,False,False,True,False,3.4777725458882283,7,0
0,3,0,25.0,0,False,False,False,True,False,False,2.1071782966514356,1,1
0,1,0,19.0,1,False,True,False,True,False,False,5.575949103146316,6,0
1,3,1,21.5,0,True,False,True,False,False,False,2.1837114628556327,1,1
0,3,0,25.0,0,False,True,False,True,False,False,2.1855792552411137,1,1
0,1,0,40.0,0,False,False,False,False,False,True,3.357621598945279,1,1
1,1,1,35.0,1,False,False,False,False,True,False,4.993969182787072,2,0
1,3,1,21.5,0,True,False,True,False,False,False,2.169053700369523,1,1
0,2,0,66.0,0,False,True,False,True,False,False,2.4423470353692043,1,1
0,1,0,28.0,0,False,False,False,True,False,False,4.420896324687287,2,0
0,1,0,42.0,0,False,True,False,True,False,False,3.970291913552122,2,0
1,3,0,25.0,0,False,False,False,True,False,False,2.1076888046179385,1,1
0,3,0,21.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,3,1,18.0,0,False,True,True,False,False,False,2.9444389791664403,3,0
1,3,1,14.0,0,False,False,True,False,False,False,2.5048481563289,2,0
0,3,1,40.0,0,False,True,False,False,True,False,2.348991465808201,2,0
0,2,1,27.0,0,False,True,False,False,True,False,3.091042453358316,2,0
0,3,0,25.0,0,False,False,False,True,False,False,2.1855792552411137,1,1
1,2,1,3.0,0,False,False,True,False,False,False,3.7513658711253766,4,0
1,3,1,19.0,0,True,False,True,False,False,False,2.1837114628556327,1,1
0,3,0,25.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,3,0,25.0,0,True,False,False,True,False,False,2.803360380906535,2,0
1,3,1,21.5,0,True,False,True,False,False,False,2.169053700369523,1,1
0,3,0,25.0,0,False,False,False,True,False,False,3.1214482048688246,3,0
0,3,1,18.0,0,False,True,False,False,True,False,2.9338568698359038,2,0
0,3,0,7.0,0,False,True,False,False,False,False,3.705920919968788,6,0
0,3,0,21.0,0,False,True,False,True,False,False,2.174751721484161,1,1
1,1,1,49.0,1,False,False,False,False,True,False,4.353230991152628,2,0
1,2,1,29.0,0,False,True,False,False,True,False,3.295836866004329,2,0
0,1,0,65.0,1,False,False,False,True,False,False,4.142804513146981,2,0
1,1,0,40.0,1,False,True,False,True,False,False,3.597312260588446,1,1
1,2,1,21.0,0,False,True,True,False,False,False,2.4423470353692043,1,1
0,3,0,28.5,0,False,False,False,True,False,False,2.1076888046179385,1,1
1,2,1,5.0,0,False,True,True,False,False,False,3.3586377672433594,4,0
0,3,0,11.0,0,False,True,False,False,False,False,3.8691155044168695,8,0
0,3,0,22.0,0,False,False,False,True,False,False,2.1076888046179385,1,1
1,1,1,38.0,1,False,True,True,False,False,False,4.394449154672439,1,1
0,1,0,45.0,1,False,True,False,True,False,False,4.436455632600354,2,0
0,3,0,4.0,0,False,True,False,False,False,False,3.3638415951183864,6,0
0,1,0,40.0,0,False,False,False,True,False,False,3.357621598945279,1,1
1,3,0,25.0,0,False,False,False,False,False,False,2.7878344138303452,3,0
1,2,1,29.0,1,False,True,False,False,True,False,2.4423470353692043,1,1
0,3,0,19.0,0,False,True,False,True,False,False,2.2146605719425225,1,1
1,3,1,17.0,0,False,True,True,False,False,False,2.188856327665703,7,0
0,3,0,26.0,0,False,True,False,True,False,False,2.2682524139135403,3,0
0,2,0,32.0,0,False,True,False,True,False,False,2.4423470353692043,1,1
0,3,1,16.0,0,False,True,True,False,False,False,3.8691155044168695,8,0
0,2,0,21.0,0,False,True,False,True,False,False,4.310799125385514,1,1
0,3,0,26.0,0,False,False,False,True,False,False,2.737880811060884,2,0
1,3,0,32.0,0,False,True,False,True,False,False,4.05171190165724,1,1
0,3,0,25.0,1,False,True,False,True,False,False,2.157559320943788,1,1
0,3,0,25.0,0,False,True,False,True,False,False,2.1855792552411137,1,1
0,3,0,25.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
1,2,0,0.83,0,False,True,False,False,False,False,3.4011973816621555,3,0
1,3,1,30.0,0,False,True,True,False,False,False,2.600836116795061,1,1
0,3,0,22.0,0,False,True,False,True,False,False,2.302585092994046,1,1
1,3,0,29.0,0,False,True,False,True,False,False,2.3513752571634776,1,1
1,3,1,21.5,0,True,False,True,False,False,False,2.1733302571367834,1,1
0,1,0,28.0,0,False,True,False,True,False,False,3.8732821771117156,1,1
1,2,1,17.0,0,False,True,True,False,False,False,2.4423470353692043,1,1
1,3,1,33.0,0,False,True,False,False,True,False,2.8243506567983707,4,0
0,3,0,16.0,0,False,True,False,True,False,False,3.5660053559634015,5,0
0,3,0,25.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
1,1,1,23.0,1,False,True,True,False,False,False,5.575949103146316,6,0
0,3,0,24.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,3,0,29.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,3,0,20.0,0,False,True,False,True,False,False,2.180891922715322,1,1
0,1,0,46.0,1,False,True,False,True,False,False,4.1299529896894684,2,0
0,3,0,26.0,0,False,True,False,True,False,False,3.0715352369694915,4,0
0,3,0,59.0,0,False,True,False,True,False,False,2.1102132003465894,1,1
0,3,0,25.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,1,0,71.0,1,False,False,False,True,False,False,3.57386695198272,1,1
1,1,0,23.0,1,False,False,False,True,False,False,4.164465907853638,2,0
1,2,1,34.0,0,False,True,False,False,True,False,3.1780538303479458,2,0
0,2,0,34.0,0,False,True,False,True,False,False,3.295836866004329,2,0
0,3,1,28.0,0,False,True,True,False,False,False,2.1855792552411137,1,1
0,3,0,25.0,0,False,True,False,True,False,False,2.1855792552411137,1,1
0,1,0,21.0,1,False,True,False,True,False,False,4.360387947851531,2,0
0,3,0,33.0,0,False,True,False,True,False,False,2.267393053825037,1,1
0,3,0,37.0,0,False,True,False,True,False,False,2.188856327665703,3,0
0,3,0,28.0,0,False,True,False,True,False,False,2.1855792552411137,1,1
1,3,1,21.0,0,False,True,True,False,False,False,2.157559320943788,1,1
1,3,0,25.0,0,False,True,False,True,False,False,2.1719067693519296,1,1
0,3,0,38.0,0,False,True,False,True,False,False,2.1855792552411137,1,1
1,3,1,21.5,0,True,False,True,False,False,False,3.224857896545748,2,0
0,1,0,47.0,1,False,True,False,True,False,False,3.970291913552122,1,1
0,3,1,14.5,0,False,False,True,False,False,False,2.737880811060884,2,0
0,3,0,22.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,3,1,20.0,0,False,True,True,False,False,False,2.3818582738885534,2,0
0,3,1,17.0,0,False,False,True,False,False,False,2.738146075922933,1,1
0,3,0,21.0,0,False,True,False,True,False,False,2.188856327665703,1,1
0,3,0,70.5,0,True,False,False,True,False,False,2.169053700369523,1,1
0,2,0,29.0,0,False,True,False,True,False,False,3.091042453358316,2,0
0,1,0,24.0,1,False,False,False,True,False,False,5.515526544247129,2,0
0,3,1,2.0,0,False,True,True,False,False,False,3.4742929367327062,7,0
0,2,0,21.0,0,False,True,False,True,False,False,4.310799125385514,3,0
0,3,0,25.0,0,False,True,False,True,False,False,2.2027647577118348,1,1
0,2,0,32.5,0,False,False,False,True,False,False,3.436268471383741,2,0
1,2,1,32.5,1,False,True,True,False,False,False,2.6390573296152584,1,1
0,1,0,54.0,1,False,True,False,True,False,False,4.360387947851531,2,0
1,3,0,12.0,0,False,False,False,False,False,False,2.5048481563289,2,0
